GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
rpg_companion,rpg_companion,HabilidadeCard,71,0,0,0,23,0,6,0,6,0
rpg_companion,rpg_companion,App,62,0,0,0,14,0,5,0,5,0
rpg_companion,rpg_companion,ItemCard,126,0,0,0,32,0,8,0,8,0
rpg_companion,rpg_companion,PersonagemArea,793,0,12,0,181,0,37,0,31,0
rpg_companion,rpg_companion,PoderCard,119,0,2,0,31,0,8,0,7,0
rpg_companion,rpg_companion,PrimaryController.tiposDeSer,24,0,0,0,1,0,1,0,1,0
rpg_companion,rpg_companion,PrimaryController,320,0,10,0,72,0,19,0,14,0
rpg_companion,rpg_companion,AmeacaArea,640,0,10,0,156,0,31,0,26,0
rpg_companion,rpg_companion,Main,6,0,0,0,3,0,2,0,2,0
rpg_companion,rpg_companion,PericiaBox,89,0,0,0,23,0,3,0,3,0
rpg_companion,rpg_companion,SerAreaMini,117,0,6,0,29,0,8,0,5,0
rpg_companion,gerenciador,GerenciadorSessao,7,35,0,0,3,10,2,5,2,5
rpg_companion,gerenciador,Rolagem,0,149,0,12,0,36,0,12,0,6
rpg_companion,seres,Ser,38,203,0,4,6,35,4,14,4,12
rpg_companion,seres,Atributo,0,54,0,0,0,6,0,1,0,1
rpg_companion,seres,Pericia,0,323,0,0,0,33,0,3,0,3
rpg_companion,seres,Recurso,15,62,4,4,5,23,4,10,1,9
rpg_companion,seres.personagens,Classe,0,93,0,0,0,18,0,8,0,8
rpg_companion,seres.personagens,Elemento,0,64,0,0,0,2,0,1,0,1
rpg_companion,seres.personagens,Item,43,15,0,0,18,6,9,1,9,1
rpg_companion,seres.personagens,Personagem,45,171,0,2,16,35,10,10,10,9
rpg_companion,seres.personagens,Poder,33,12,0,0,14,5,7,1,7,1
rpg_companion,seres.ameacas,Habilidade,23,9,0,0,10,4,5,1,5,1
rpg_companion,seres.ameacas,Ameaca,18,65,0,0,6,15,4,4,4,4
